"","Site_code","lat","long","Reef","Site","Zone","dist_to_shore"
"1","CBHE_BA1D",-23.42807,151.95224,"CBHE","BA1","D",72906.5522249625
"2","CBHE_BA1F",-23.42878,151.95253,"CBHE","BA1","F",72922.9642556028
"3","CBHE_BA1S",-23.42847,151.95242,"CBHE","BA1","S",72917.4471940513
"4","CBHE_BA2D",-23.43398,151.92041,"CBHE","BA2","D",69622.310442543
"5","CBHE_BA2F",-23.43408,151.92091,"CBHE","BA2","F",69670.5249203155
"6","CBHE_BA2S",-23.43401,151.92088,"CBHE","BA2","S",69668.7504181723
"7","CBHE_FL1F",-23.45601,151.92572,"CBHE","FL1","F",69346.1469599538
"8","CBHE_FL1S",-23.45611,151.92566,"CBHE","FL1","S",69333.56118732
"9","CBHE_FR1D",-23.47209,151.97797,"CBHE","FR1","D",69678.4580498732
"10","CBHE_FR1F",-23.47164,151.97749,"CBHE","FR1","F",69704.1743636495
"11","CBHE_FR1S",-23.47196,151.97772,"CBHE","FR1","S",69681.2161859247
"12","CBHE_FR2D",-23.47086,151.95108,"CBHE","FR2","D",68722.5338992707
"13","CBHE_FR2F",-23.47036,151.95097,"CBHE","FR2","F",68770.0212119693
"14","CBHE_FR2S",-23.47046,151.95093,"CBHE","FR2","S",68758.1359673903
"15","CBHE_LA1S",-23.45391,151.96863,"CBHE","LA1","S",71157.9348864202
"16","CBLM_BA1F",-23.90081,152.39369,"CBLM","BA1","F",59749.4099394579
"17","CBLM_BA1S",-23.9003,152.39342,"CBLM","BA1","S",59759.1733652281
"18","CBLM_BA2F",-23.89483,152.40421,"CBLM","BA2","F",61002.2814455429
"19","CBLM_BA2S",-23.89441,152.40399,"CBLM","BA2","S",61010.4774878304
"20","CBLM_FL1S",-23.88511,152.41367,"CBLM","FL1","S",62403.9153044495
"21","CBLM_FL2F",-23.91708,152.39223,"CBLM","FL2","F",58618.0374060383
"22","CBLM_FL2S",-23.91752,152.3924,"CBLM","FL2","S",58605.6489906092
"23","CBLM_LA1S",-23.89633,152.41391,"CBLM","LA1","S",61718.9925710724
"24","KEGK_BA1F",-23.19642,150.93726,"KEGK","BA1","F",14930.2829993179
"25","KEGK_BA1S",-23.19657,150.93681,"KEGK","BA1","S",14882.2995406304
"26","KEHW_BA1F",-23.20164,150.96721,"KEHW","BA1","F",17798.9839181991
"27","KEHW_BA1S",-23.20172,150.96664,"KEHW","BA1","S",17740.5569393859
"28","KEMD_BA1F",-23.16196,150.92053,"KEMD","BA1","F",13946.7923072443
"29","KEMD_BA1S",-23.16187,150.9207,"KEMD","BA1","S",13964.0488872252
"30","KEML_BA1D",-23.15038,150.90279,"KEML","BA1","D",12149.8849685421
"31","KEML_BA1F",-23.15072,150.90276,"KEML","BA1","F",12146.7821432063
"32","KEML_BA1S",-23.15056,150.90279,"KEML","BA1","S",12149.8530358717
"33","KENK_BA1F",-23.08429,150.886,"KENK","BA1","F",10457.8422768808
"34","KENK_BA1S",-23.08432,150.88542,"KENK","BA1","S",10398.9818524362
"35","KENK_FL1F",-23.08508,150.89891,"KENK","FL1","F",11767.7482814301
"36","KENK_FL1S",-23.08526,150.89906,"KENK","FL1","S",11782.9380983495
"37","OCCH_BA1F",-18.65321,147.70871,"OCCH","BA1","F",86018.0059619604
"38","OCCH_BA1S",-18.6532,147.70859,"OCCH","BA1","S",86014.579316715
"39","OCCH_BA2F",-18.65213,147.71848,"OCCH","BA2","F",86498.3909453152
"40","OCCH_BA2S",-18.6521,147.71846,"OCCH","BA2","S",86500.7251136969
"41","OCCH_LA1F",-18.66035,147.70267,"OCCH","LA1","F",85053.2960111652
"42","OCCH_LA1S",-18.66035,147.70267,"OCCH","LA1","S",85053.2960111652
"43","OCDA_BA1D",-18.82591,147.62738,"OCDA","BA1","D",65089.2365450971
"44","OCDA_BA1F",-18.82586,147.62712,"OCDA","BA1","F",65085.2782010427
"45","OCDA_BA1S",-18.8259,147.62727,"OCDA","BA1","S",65086.3951488571
"46","OCDA_BA2D",-18.81433,147.63724,"OCDA","BA2","D",66649.6033398484
"47","OCDA_BA2S",-18.81448,147.63721,"OCDA","BA2","S",66632.8952510647
"48","OCDA_FL1D",-18.80592,147.66884,"OCDA","FL1","D",68724.5017134885
"49","OCDA_FL1F",-18.80615,147.66856,"OCDA","FL1","F",68689.6893539149
"50","OCDA_FL1S",-18.80575,147.66862,"OCDA","FL1","S",68733.1111463715
"51","OCDA_FR1B",-18.81966,147.66394,"OCDA","FR1","B",67119.2637319265
"52","OCDA_FR1D",-18.81966,147.66394,"OCDA","FR1","D",67119.2637319265
"53","OCDA_FR1F",-18.81618,147.66376,"OCDA","FR1","F",67468.7877591974
"54","OCDA_FR1S",-18.8192,147.66391,"OCDA","FR1","S",67165.1924347257
"55","OCDA_FR2D",-18.83181,147.65268,"OCDA","FR2","D",65423.4354078335
"56","OCDA_FR2F",-18.83171,147.65221,"OCDA","FR2","F",65415.213382038
"57","OCDA_FR2S",-18.83187,147.65248,"OCDA","FR2","S",65409.3848477659
"58","OCDA_LA1F",-18.83293,147.63365,"OCDA","LA1","F",64583.4338413685
"59","OCDA_LA1S",-18.83292,147.63336,"OCDA","LA1","S",64573.8424340141
"60","OCDA_LA2S",-18.83125,147.63316,"OCDA","LA2","S",64740.1985681752
"61","OCDA_SP",-18.824367,147.658767,"OCDA","SP","",66429.340694637
"62","OCLB_BA1F",-18.94938,147.69295,"OCLB","BA1","F",55618.8401486509
"63","OCLB_BA1S",-18.94923,147.69295,"OCLB","BA1","S",55633.090337026
"64","OCLB_FL1F",-18.94399,147.69923,"OCLB","FL1","F",56472.3498505849
"65","OCLB_FL1S",-18.94397,147.69923,"OCLB","FL1","S",56474.2446123139
"66","OCLB_LA1S",-18.94938,147.70198,"OCLB","LA1","S",56114.8700288688
"67","ONLI_BA1F",-14.6507,145.4502306,"ONLI","BA1","F",36040.6544346597
"68","ONLI_BA1S",-14.6507,145.45024,"ONLI","BA1","S",36041.2960195379
"69","ONLI_BA2F",-14.66777,145.44244,"ONLI","BA2","F",34052.6078297784
"70","ONLI_BA2S",-14.66776,145.44197,"ONLI","BA2","S",34021.3835502878
"71","ONLI_FL1F",-14.6981,145.44545,"ONLI","FL1","F",31670.2404518493
"72","ONLI_FL1S",-14.69811,145.44543,"ONLI","FL1","S",31668.0225666098
"73","ONLI_FR1D",-14.69113,145.46951,"ONLI","FR1","D",33906.4992532144
"74","ONLI_FR1F",-14.69129,145.46928,"ONLI","FR1","F",33877.1549731062
"75","ONLI_FR1S",-14.69137,145.46938,"ONLI","FR1","S",33877.1499614603
"76","ONLI_FR2F",-14.64963,145.4928,"ONLI","FR2","F",39036.883974778
"77","ONLI_FR2S",-14.6494,145.49286,"ONLI","FR2","S",39060.6050588753
"78","ONLI_LA1F",-14.68762,145.46533,"ONLI","LA1","F",33920.8593192552
"79","ONLI_LA1S",-14.68768,145.46523,"ONLI","LA1","S",33908.9169309641
"80","ONLI_SP",-14.69979,145.46973,"ONLI","SP","",33182.4798941931
"81","ONMO_BA1D",-16.84719,146.21736,"ONMO","BA1","D",33409.7079621122
"82","ONMO_BA1F",-16.84731,146.21759,"ONMO","BA1","F",33430.8443900636
"83","ONMO_BA1S",-16.84712,146.21744,"ONMO","BA1","S",33419.7318288587
"84","ONMO_BA2D",-16.88184,146.18402,"ONMO","BA2","D",29252.3714238772
"85","ONMO_BA2F",-16.8819,146.18402,"ONMO","BA2","F",29251.5995304154
"86","ONMO_BA2S",-16.8819,146.18402,"ONMO","BA2","S",29251.5995304154
"87","ONMO_FL1D",-16.84844,146.2373,"ONMO","FL1","D",35465.6755287457
"88","ONMO_FL1F",-16.84859,146.23718,"ONMO","FL1","F",35449.791890064
"89","ONMO_FL1S",-16.8485,146.23726,"ONMO","FL1","S",35460.1593015736
"90","ONMO_FR1D",-16.87191,146.25369,"ONMO","FR1","D",36776.1413105308
"91","ONMO_FR1F",-16.87196,146.25343,"ONMO","FR1","F",36747.8846033585
"92","ONMO_FR1S",-16.87201,146.25362,"ONMO","FR1","S",36767.3596296687
"93","ONMO_FR2D",-16.88305,146.24464,"ONMO","FR2","D",35681.9745067215
"94","ONMO_FR2F",-16.88264,146.24457,"ONMO","FR2","F",35678.7332725915
"95","ONMO_FR2S",-16.88276,146.24463,"ONMO","FR2","S",35683.8801827654
"96","ONMO_LA1D",-16.85995,146.22552,"ONMO","LA1","D",33991.8702838349
"97","ONMO_LA1F",-16.85991,146.22543,"ONMO","LA1","F",33983.1517472358
"98","ONMO_LA1S",-16.85995,146.22552,"ONMO","LA1","S",33991.8702838349
"99","ONMO_SP",-16.88887,146.24886,"ONMO","SP","",36078.1358641382
"100","PAOR_FL1D",-18.57153,146.49562,"PAOR","FL1","D",17235.0746678923
"101","PAOR_FL1F",-18.57263,146.495,"PAOR","FL1","F",17184.5238249761
"102","PAOR_FL1S",-18.57224,146.49544,"PAOR","FL1","S",17225.3810422587
"103","PAPE_BA1D",-18.55054,146.48822,"PAPE","BA1","D",16346.634626782
"104","PAPE_BA1F",-18.55076,146.48859,"PAPE","BA1","F",16385.1136410951
"105","PAPE_BA1S",-18.5508,146.48842,"PAPE","BA1","S",16367.1040729712
"106","PAPE_BA2D",-18.54098,146.48843,"PAPE","BA2","D",16426.3576267126
"107","PAPE_BA2F",-18.54104,146.48909,"PAPE","BA2","F",16495.1140184113
"108","PAPE_BA2S",-18.54103,146.48862,"PAPE","BA2","S",16445.8375525297
"109","PAPE_FR1D",-18.5391,146.49924,"PAPE","FR1","D",17580.2242300699
"110","PAPE_FR1F",-18.54003,146.49893,"PAPE","FR1","F",17538.4008655107
"111","PAPE_FR1S",-18.53953,146.49895,"PAPE","FR1","S",17545.4150012802
"112","TSAU_BA1F",-9.86777,143.38939,"TSAU","BA1","F",90203.4860092
"113","TSAU_BA1S",-9.86766,143.3893,"TSAU","BA1","S",90188.9152287147
"114","TSAU_BA2F",-9.8753,143.38873,"TSAU","BA2","F",90939.5756818623
"115","TSAU_BA2S",-9.87567,143.38852,"TSAU","BA2","S",90968.9419715943
"116","TSAU_FL1F",-9.88172,143.39439,"TSAU","FL1","F",91805.6055535241
"117","TSAU_FL1S",-9.882,143.39441,"TSAU","FL1","S",91834.6843450747
"118","TSAU_FR1F",-9.87976,143.40973,"TSAU","FR1","F",92195.3211641098
"119","TSAU_FR1S",-9.87995,143.41005,"TSAU","FR1","S",92226.7981529312
"120","TSAU_FR2D",-9.88355,143.40729,"TSAU","FR2","D",92485.0104263794
"121","TSAU_FR2F",-9.88335,143.40681,"TSAU","FR2","F",92446.3904725536
"122","TSAU_FR2S",-9.88363,143.40704,"TSAU","FR2","S",92483.5174906255
"123","TSDU_BA1F",-9.88176,142.92525,"TSDU","BA1","F",67275.3507328947
"124","TSDU_BA1S",-9.88165,142.92517,"TSDU","BA1","S",67260.6744295374
"125","TSDU_BA2F",-9.87865,142.93295,"TSDU","BA2","F",67393.2988513785
"126","TSDU_BA2S",-9.87852,142.93288,"TSDU","BA2","S",67377.2470198823
"127","TSDU_BA3F",-9.98513,142.90881,"TSDU","BA3","F",67960.9122701047
"128","TSDU_BA3S",-9.9853,142.90858,"TSDU","BA3","S",67930.3980707877
"129","TSDU_FR1F",-9.93117,143.00534,"TSDU","FR1","F",76309.7695613636
"130","TSDU_FR1S",-9.9312,143.00543,"TSDU","FR1","S",76317.5501333896
"131","TSDU_FR2S",-10.03724,142.92653,"TSDU","FR2","S",68256.7994218565
"132","TSDU_LA1F",-9.93386,142.92267,"TSDU","LA1","F",71410.034510044
"133","TSDU_LA1S",-9.93405,142.92276,"TSDU","LA1","S",71411.38603291
"134","TSMA_BA1D",-9.74876,143.39987,"TSMA","BA1","D",78575.4793393184
"135","TSMA_BA1F",-9.74886,143.40012,"TSMA","BA1","F",78595.1748092091
"136","TSMA_BA1S",-9.74877,143.39992,"TSMA","BA1","S",78578.4078939825
"137","TSMA_BA2D",-9.74405,143.41571,"TSMA","BA2","D",78707.275606617
"138","TSMA_BA2F",-9.74463,143.41585,"TSMA","BA2","F",78771.255365888
"139","TSMA_BA2S",-9.74423,143.41579,"TSMA","BA2","S",78728.5340484981
"140","TSMA_FL1F",-9.75989,143.39822,"TSMA","FL1","F",79636.9460233255
"141","TSMA_FL1S",-9.75998,143.39803,"TSMA","FL1","S",79638.7537667024
"142","TSMA_FR1D",-9.7639,143.41718,"TSMA","FR1","D",80769.5507118739
"143","TSMA_FR1S",-9.76227,143.4214,"TSMA","FR1","S",80766.7632885427
"144","TSMA_FR2D",-9.7462,143.46025,"TSMA","FR2","D",80634.5418576038
"145","TSMA_FR2F",-9.74817,143.45831,"TSMA","FR2","F",80759.0667838311
"146","TSMA_FR2S",-9.74831,143.45851,"TSMA","FR2","S",80780.8937490543
"147","TSMA_LA1S",-9.73419,143.43503,"TSMA","LA1","S",78452.5873561787
"148","OCCH_FL1S",-18.6521,147.71846,"OCCH","FL1","S",86500.7251136969
