Reef,ubedmean,Turbidity_mean,PAR_mean,temp_mean,DistanceLand,MonthlyRange,EcoLocationID_short,Depth
Davies,-0.576799309,-1.139447002,0.968090237,0.427978994,0.719927243,0.259628281,OCDA_BA2S,Shallow
Davies,0.528416358,-1.139447002,0.968090237,0.410671819,0.611922535,0.34681237,OCDA_LA1S,Shallow
Davies,0.294333524,-1.112959412,0.940825068,0.448807117,0.842052411,0.242730629,OCDA_FL1S,Shallow
Davies,0.355049221,-1.139447002,0.968090237,0.435437922,0.635958865,0.268422205,OCDA_BA1S,Shallow
Chicken,-0.165602065,-1.251691642,0.958860455,0.530880678,1.750202028,-0.143032785,OCCH_BA1S,Shallow
Chicken,0.51576914,-1.362577097,0.99854459,0.564398624,1.698252228,-0.104178742,OCCH_BA2S,Shallow
LittleBroadhurst,-0.953303287,-1.168944507,0.972567663,0.303964045,0.225503407,0.375151058,OCLB_FL1S,Shallow
LittleBroadhurst,-0.420164112,-1.168944507,0.972567663,0.315899381,0.179650897,0.354725279,OCLB_BA1S,Shallow
Davies,0.897569034,-1.139447002,0.968090237,0.454272478,0.759518328,0.244630701,OCDA_FR1S,Shallow
Davies,-0.650383486,-0.88715778,-0.997884759,0.16663337,0.757178639,-1.392915014,OCDA_FR1D,Deep
Davies,0.029671667,-0.861136618,-1.028802565,0.156804364,0.841660507,-1.363423291,OCDA_FL1D,Deep
Davies,-0.170131725,-0.88715778,-0.997884759,0.123331772,0.636732458,-1.325559884,OCDA_BA1D,Deep
Davies,1.958931072,-1.139447002,0.968090237,0.458894181,0.664182236,0.385532435,OCDA_FR2S,Shallow
Davies,0.149717518,-0.88715778,-0.997884759,0.169702681,0.664146031,-1.395046505,OCDA_FR2D,Deep
Davies,-0.00807699,-1.139447002,0.968090237,0.410671819,0.620771297,0.285827356,OCDA_LA2S,Shallow
Heron,0.060034424,0.557413383,-1.47753493,-1.708275855,0.904710357,-0.23678593,CBHE_FR2D,Deep
Heron,1.043893963,0.563305777,0.603643456,-1.708869845,0.905881263,-0.208857301,CBHE_FR2S,Shallow
Heron,1.474666052,1.016209069,0.523175467,-1.736839554,0.964002626,-0.410719691,CBHE_FR1S,Shallow
Heron,0.587981061,0.978578559,0.545649004,-1.738965057,0.925618242,-0.213233963,CBHE_FL1S,Shallow
Heron,1.187100208,1.351237935,0.433587667,-1.777961997,1.133830499,-0.51320992,CBHE_BA1S,Shallow
Heron,0.720359916,1.019560933,-1.349048508,-1.763566955,1.03457706,-0.441539029,CBHE_BA2D,Deep
Heron,1.221346657,0.978578559,0.545649004,-1.764680233,1.03634045,-0.407418925,CBHE_BA2S,Shallow
Heron,0.172948618,1.365609367,-1.680385901,-1.777701397,1.135865297,-0.632110604,CBHE_BA1D,Deep
LadyMusgrave,-1.728318501,1.595909439,0.336576767,-2.196382308,0.695717567,-3.516156581,CBLM_LA1S,Shallow
LadyMusgrave,1.267829147,1.304235602,0.402520614,-2.197086303,0.533057082,-3.576910178,CBLM_FL2S,Shallow
LittleBroadhurst,-0.547532568,-1.168944507,0.972567663,0.303964045,0.208459289,0.351026633,OCLB_LA1S,Shallow
Lizard,-0.940091254,2.365149203,0.437240304,0.627451846,-0.864904611,0.676535829,ONLI_BA2S,Shallow
Lizard,-1.488741448,1.023173192,0.532994384,0.666744149,-0.822492087,0.408548484,ONLI_LA1S,Shallow
Lizard,-0.360755474,1.023173192,0.532994384,0.666744149,-0.813390789,0.408292705,ONLI_FR1S,Shallow
Lizard,-0.887957094,1.023173192,0.532994384,0.637149498,-0.950820403,0.635883212,ONLI_FL1S,Shallow
Lizard,-0.571267205,0.000745792,0.584869686,0.71432805,-0.566540552,0.391017473,ONLI_FR2S,Shallow
Lizard,-1.673197286,0.000745792,0.584869686,0.691519845,-0.765382856,0.771255248,ONLI_BA1S,Shallow
Moore,-1.059292399,-0.48207724,0.61918091,0.873397357,-0.926321193,0.677343765,ONMO_LA1S,Shallow
Moore,-1.059292399,-0.169128171,-1.228448641,0.548662602,-0.925992733,0.290017258,ONMO_LA1D,Deep
Moore,1.732486089,-0.385948243,-1.244567376,0.666266482,-0.773932523,0.307820287,ONMO_FR1D,Deep
Moore,2.124124722,-0.62719396,0.6127397,0.913956179,-0.774231188,0.62358958,ONMO_FR1S,Shallow
Moore,0.580134196,0.348533543,-1.249578951,0.618235603,-0.825639762,0.314206641,ONMO_FR2D,Deep
Moore,1.588964518,-0.136747682,0.606141388,0.87869612,-0.826723592,0.614681976,ONMO_FR2S,Shallow
Moore,0.252301591,-0.169128171,-1.228448641,0.612914026,-0.963281523,0.385625815,ONMO_BA1D,Deep
Moore,-0.890874131,0.123842215,-1.283874464,0.522143111,-1.169665906,0.346544411,ONMO_BA2D,Deep
Moore,-0.610075437,-0.184842582,0.5597961,0.849168124,-1.168466201,0.68628385,ONMO_BA2S,Shallow
Pelorus,-0.355827111,0.988148519,-1.636907736,0.385638637,-1.565594389,0.922684522,PAOR_FL1D,Deep
Pelorus,0.020037417,0.335667993,-1.474801343,0.382923882,-1.550079847,0.87567803,PAPE_FR1D,Deep
Pelorus,-1.545010392,1.350550157,-1.72734389,0.353618619,-1.610450665,0.944040037,PAPE_BA1D,Deep
Pelorus,-0.994210071,0.099210286,0.459101141,0.724054744,-1.610434047,1.547548496,PAPE_BA2S,Shallow
Pelorus,-1.106762371,0.335667993,-1.474801343,0.354403189,-1.611373973,0.939013776,PAPE_BA2D,Deep