Sample-names,Samples_renames,EcoClusterID,fieldID,tagID,healthChart,Population,timeOfDay,depthOfBottominMeters,decimalLatitude,decimalLongitude,EcoLocationID_short,EcoReefID,EcoSiteID,EcoZoneID,EcoPlotID,eventEnteredBy,dayCollected,monthCollected,yearCollected,dateCollected
Spis-CBHE-1279,Spis_CBHE_1279,Offshore South GBR,28,Spis_19,0,Heron,10:00:00,12,-23.4708,151.9511,CBHE_FR2D,Heron,Front2,Deep,1,Iva Popovic,5,5,2022,5/5/2022
Spis-CBHE-1281,Spis_CBHE_1281,Offshore South GBR,34,0,0,Heron,10:00:00,12,-23.4708,151.9511,CBHE_FR2D,Heron,Front2,Deep,1,Iva Popovic,5,5,2022,5/5/2022
Spis-CBHE-1282,Spis_CBHE_1282,Offshore South GBR,12,Spis_54,0,Heron,10:00:00,12,-23.4708,151.9511,CBHE_FR2D,Heron,Front2,Deep,2,Iva Popovic,5,5,2022,5/5/2022
Spis-CBHE-1284,Spis_CBHE_1284,Offshore South GBR,32,Spis_4,0,Heron,10:00:00,12,-23.4708,151.9511,CBHE_FR2D,Heron,Front2,Deep,2,Iva Popovic,5,5,2022,5/5/2022
Spis-CBHE-1287,Spis_CBHE_1287,Offshore South GBR,11,Spis_57,0,Heron,10:00:00,12,-23.4708,151.9511,CBHE_FR2D,Heron,Front2,Deep,3,Iva Popovic,5,5,2022,5/5/2022
Spis-CBHE-1289,Spis_CBHE_1289,Offshore South GBR,12,0,0,Heron,14:30:00,5,-23.4704,151.9507,CBHE_FR2S,Heron,Front2,Shallow,1,Iva Popovic,5,5,2022,5/5/2022
Spis-CBHE-1324,Spis_CBHE_1324,Offshore South GBR,6,Spis_54,0,Heron,14:30:00,5,-23.472,151.9777,CBHE_FR1S,Heron,Front1,Shallow,2,Iva Popovic,6,5,2022,6/5/2022
Spis-CBHE-1334,Spis_CBHE_1334,Offshore South GBR,37,Spis_54,0,Heron,10:00:00,5,-23.4562,151.9257,CBHE_FL1S,Heron,Flank1,Shallow,1,Iva Popovic,7,5,2022,7/5/2022
Spis-CBHE-1335,Spis_CBHE_1335,Offshore South GBR,39,Spis_17,0,Heron,10:00:00,5,-23.4562,151.9257,CBHE_FL1S,Heron,Flank1,Shallow,2,Iva Popovic,7,5,2022,7/5/2022
Spis-CBHE-1346,Spis_CBHE_1346,Offshore South GBR,17,Spis_54,0,Heron,10:00:00,5,-23.4562,151.9257,CBHE_FL1S,Heron,Flank1,Shallow,4,Iva Popovic,7,5,2022,7/5/2022
Spis-CBHE-1382,Spis_CBHE_1382,Offshore South GBR,34,0,0,Heron,14:30:00,5,-23.4284,151.9524,CBHE_BA1S,Heron,Back1,Shallow,2,Iva Popovic,8,5,2022,8/5/2022
Spis-CBHE-1396,Spis_CBHE_1396,Offshore South GBR,39,Spis_53,0,Heron,10:00:00,12,-23.4341,151.9203,CBHE_BA2D,Heron,Back2,Deep,1,Iva Popovic,9,5,2022,9/5/2022
Spis-CBHE-1398,Spis_CBHE_1398,Offshore South GBR,13,0,0,Heron,10:00:00,12,-23.4341,151.9203,CBHE_BA2D,Heron,Back2,Deep,2,Iva Popovic,9,5,2022,9/5/2022
Spis-CBHE-1400,Spis_CBHE_1400,Offshore South GBR,3,0,0,Heron,10:00:00,12,-23.4341,151.9203,CBHE_BA2D,Heron,Back2,Deep,2,Iva Popovic,9,5,2022,9/5/2022
Spis-CBHE-1408,Spis_CBHE_1408,Offshore South GBR,33,0,0,Heron,10:00:00,12,-23.4341,151.9203,CBHE_BA2D,Heron,Back2,Deep,4,Iva Popovic,9,5,2022,9/5/2022
Spis-CBHE-1412,Spis_CBHE_1412,Offshore South GBR,3,0,0,Heron,14:30:00,5,-23.434,151.9209,CBHE_BA2S,Heron,Back2,Shallow,1,Iva Popovic,9,5,2022,9/5/2022
Spis-CBHE-1418,Spis_CBHE_1418,Offshore South GBR,24,0,0,Heron,14:30:00,5,-23.434,151.9209,CBHE_BA2S,Heron,Back2,Shallow,3,Iva Popovic,9,5,2022,9/5/2022
Spis-CBHE-1423,Spis_CBHE_1423,Offshore South GBR,31,Spis_54,0,Heron,14:30:00,5,-23.434,151.9209,CBHE_BA2S,Heron,Back2,Shallow,4,Iva Popovic,9,5,2022,9/5/2022
Spis-CBHE-213,Spis_CBHE_213,Offshore South GBR,3,28,0,Heron,11:10:00,5,-23.4561755,151.925688,CBHE_FL1S,Heron,Flank1,Shallow,0,Zoe Meziere,16,9,2021,16/9/2021
Spis-CBHE-221,Spis_CBHE_221,Offshore South GBR,40,15,0,Heron,11:10:00,5,-23.4561755,151.925688,CBHE_FL1S,Heron,Flank1,Shallow,0,Zoe Meziere,16,9,2021,16/9/2021
Spis-CBHE-256,Spis_CBHE_256,Offshore South GBR,111,105,0,Heron,11:54:00,12,-23.428043,151.952453,CBHE_BA1D,Heron,Back1,Deep,1,Tom Richards,18,9,2021,18/9/2021
Spis-CBHE-259,Spis_CBHE_259,Offshore South GBR,2,108,0,Heron,12:00:00,5,-23.4284405,151.952418,CBHE_BA1S,Heron,Back1,Shallow,1,Ilha Byrne,19,9,2021,19/9/2021