Sample_names,Samples-renames,EcoClusterID,fieldID,tagID,healthChart,Population,timeOfDay,depthOfBottominMeters,decimalLatitude,decimalLongitude,EcoLocationID_short,EcoReefID,EcoSiteID,EcoZoneID,EcoPlotID,eventEnteredBy,dayCollected,monthCollected,yearCollected,dateCollected
Spis_OCDA_743,Spis-OCDA-743,Offshore Central GBR,20,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_746,Spis-OCDA-746,Offshore Central GBR,2,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_748,Spis-OCDA-748,Offshore Central GBR,10,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_749,Spis-OCDA-749,Offshore Central GBR,22,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_752,Spis-OCDA-752,Offshore Central GBR,18,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_755,Spis-OCDA-755,Offshore Central GBR,13,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_757,Spis-OCDA-757,Offshore Central GBR,17,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_758,Spis-OCDA-758,Offshore Central GBR,6,0,0,OffshoreCentral,9:00:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon1,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_760,Spis-OCDA-760,Offshore Central GBR,20,0,0,OffshoreCentral,14:30:00,5,-18.83125,147.63316,OCDA_LA2S,Davies,Lagoon2,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_762,Spis-OCDA-762,Offshore Central GBR,12,0,0,OffshoreCentral,14:30:00,5,-18.83125,147.63316,OCDA_LA2S,Davies,Lagoon2,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_763,Spis-OCDA-763,Offshore Central GBR,2,0,0,OffshoreCentral,14:30:00,5,-18.83125,147.63316,OCDA_LA2S,Davies,Lagoon2,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_768,Spis-OCDA-768,Offshore Central GBR,24,0,0,OffshoreCentral,14:30:00,5,-18.83125,147.63316,OCDA_LA2S,Davies,Lagoon2,Shallow,0,Zoe Meziere,22,1,2022,22/1/2022
Spis_OCDA_770,Spis-OCDA-770,Offshore Central GBR,4,0,0,OffshoreCentral,10:30:00,14,-18.82579,147.62735,OCDA_BA1D,Davies,Back1,Deep,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCDA_776,Spis-OCDA-776,Offshore Central GBR,5,0,0,OffshoreCentral,10:30:00,14,-18.82579,147.62735,OCDA_BA1D,Davies,Back1,Deep,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCDA_779,Spis-OCDA-779,Offshore Central GBR,21,0,0,OffshoreCentral,15:00:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back1,Shallow,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCDA_781,Spis-OCDA-781,Offshore Central GBR,3,0,0,OffshoreCentral,15:00:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back1,Shallow,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCDA_784,Spis-OCDA-784,Offshore Central GBR,7,0,0,OffshoreCentral,15:00:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back1,Shallow,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCDA_788,Spis-OCDA-788,Offshore Central GBR,22,0,0,OffshoreCentral,15:00:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back1,Shallow,0,Zoe Meziere,23,1,2022,23/1/2022
Spis_OCLB_697,Spis-OCLB-697,Offshore Central GBR,8,0,0,OffshoreCentral,16:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back1,Shallow,0,Zoe Meziere,20,1,2022,20/1/2022
Spis_OCLB_701,Spis-OCLB-701,Offshore Central GBR,10,0,0,OffshoreCentral,16:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back1,Shallow,0,Zoe Meziere,20,1,2022,20/1/2022
Spis_OCLB_711,Spis-OCLB-711,Offshore Central GBR,1,0,0,OffshoreCentral,10:00:00,5,-18.944062,147.699285,OCLB_FL1S,Little Broadhurst,Flank1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_717,Spis-OCLB-717,Offshore Central GBR,11,0,0,OffshoreCentral,10:00:00,5,-18.944062,147.699285,OCLB_FL1S,Little Broadhurst,Flank1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_720,Spis-OCLB-720,Offshore Central GBR,9,0,0,OffshoreCentral,10:00:00,5,-18.944062,147.699285,OCLB_FL1S,Little Broadhurst,Flank1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_724,Spis-OCLB-724,Offshore Central GBR,14,0,0,OffshoreCentral,10:00:00,5,-18.944062,147.699285,OCLB_FL1S,Little Broadhurst,Flank1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_725,Spis-OCLB-725,Offshore Central GBR,5,0,0,OffshoreCentral,15:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_728,Spis-OCLB-728,Offshore Central GBR,4,0,0,OffshoreCentral,15:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_731,Spis-OCLB-731,Offshore Central GBR,12,0,0,OffshoreCentral,15:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_734,Spis-OCLB-734,Offshore Central GBR,10,0,0,OffshoreCentral,15:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_738,Spis-OCLB-738,Offshore Central GBR,11,0,0,OffshoreCentral,19:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_OCLB_739,Spis-OCLB-739,Offshore Central GBR,6,0,0,OffshoreCentral,20:00:00,5,-18.949382,147.701909,OCLB_LA1S,Little Broadhurst,Lagoon1,Shallow,0,Zoe Meziere,21,1,2022,21/1/2022
Spis_ONLI_441,Spis-ONLI-441,Offshore North GBR,6,0,0,Lizard,9:30:00,5,-14.6912735,145.4693795,ONLI_FR1S,Lizard,Front1,Shallow,0,Zoe Meziere,30,10,2021,30/10/2021
Spis_ONLI_442,Spis-ONLI-442,Offshore North GBR,9,0,0,Lizard,9:30:00,5,-14.6912735,145.4693795,ONLI_FR1S,Lizard,Front1,Shallow,0,Zoe Meziere,30,10,2021,30/10/2021
Spis_ONLI_443,Spis-ONLI-443,Offshore North GBR,4,0,0,Lizard,9:30:00,5,-14.6912735,145.4693795,ONLI_FR1S,Lizard,Front1,Shallow,0,Zoe Meziere,30,10,2021,30/10/2021
Spis_ONLI_445,Spis-ONLI-445,Offshore North GBR,13,0,0,Lizard,9:30:00,5,-14.6912735,145.4693795,ONLI_FR1S,Lizard,Front1,Shallow,0,Zoe Meziere,30,10,2021,30/10/2021
Spis_ONLI_448,Spis-ONLI-448,Offshore North GBR,11,0,0,Lizard,9:30:00,5,-14.6912735,145.4693795,ONLI_FR1S,Lizard,Front1,Shallow,0,Zoe Meziere,30,10,2021,30/10/2021
Spis_ONLI_449,Spis-ONLI-449,Offshore North GBR,7,0,0,Lizard,14:00:00,4,-14.6980975,145.445447,ONLI_FL1S,Lizard,Flank1,Shallow,0,Zoe Meziere,30,10,2021,30/10/2021
Spis_ONLI_455,Spis-ONLI-455,Offshore North GBR,14,0,0,Lizard,14:00:00,4,-14.6980975,145.445447,ONLI_FL1S,Lizard,Flank1,Shallow,0,Zoe Meziere,30,10,2021,30/10/2021
Spis_ONLI_456,Spis-ONLI-456,Offshore North GBR,15,0,0,Lizard,14:00:00,4,-14.6980975,145.445447,ONLI_FL1S,Lizard,Flank1,Shallow,0,Zoe Meziere,30,10,2021,30/10/2021
Spis_ONLI_465,Spis-ONLI-465,Offshore North GBR,9,0,0,Lizard,9:30:00,5,-14.649439,145.492935,ONLI_FR2S,Lizard,Front2,Shallow,0,Zoe Meziere,31,10,2021,31/10/2021
Spis_ONLI_467,Spis-ONLI-467,Offshore North GBR,10,0,0,Lizard,9:30:00,5,-14.649439,145.492935,ONLI_FR2S,Lizard,Front2,Shallow,0,Zoe Meziere,31,10,2021,31/10/2021
Spis_ONLI_468,Spis-ONLI-468,Offshore North GBR,14,0,0,Lizard,9:30:00,5,-14.649439,145.492935,ONLI_FR2S,Lizard,Front2,Shallow,0,Zoe Meziere,31,10,2021,31/10/2021
Spis_ONLI_484,Spis-ONLI-484,Offshore North GBR,9,0,0,Lizard,13:00:00,5,-14.667794,145.441894,ONLI_BA2S,Lizard,Back2,Shallow,0,Zoe Meziere,31,10,2021,31/10/2021
Spis_ONLI_486,Spis-ONLI-486,Offshore North GBR,12,0,0,Lizard,13:00:00,5,-14.667794,145.441894,ONLI_BA2S,Lizard,Back2,Shallow,0,Zoe Meziere,31,10,2021,31/10/2021
Spis_ONLI_490,Spis-ONLI-490,Offshore North GBR,7,0,0,Lizard,10:00:00,5,-14.6877065,145.465276,ONLI_LA1S,Lizard,Lagoon1,Shallow,0,Zoe Meziere,1,11,2021,1/11/2021
Spis_ONLI_491,Spis-ONLI-491,Offshore North GBR,11,0,0,Lizard,10:00:00,5,-14.6877065,145.465276,ONLI_LA1S,Lizard,Lagoon1,Shallow,0,Zoe Meziere,1,11,2021,1/11/2021
Spis_ONLI_493,Spis-ONLI-493,Offshore North GBR,3,0,0,Lizard,10:00:00,5,-14.6877065,145.465276,ONLI_LA1S,Lizard,Lagoon1,Shallow,0,Zoe Meziere,1,11,2021,1/11/2021
Spis_ONLI_494,Spis-ONLI-494,Offshore North GBR,9,0,0,Lizard,10:00:00,5,-14.6877065,145.465276,ONLI_LA1S,Lizard,Lagoon1,Shallow,0,Zoe Meziere,1,11,2021,1/11/2021
Spis_ONLI_792,Spis-ONLI-792,Offshore North GBR,21,0,0,Lizard,16:00:00,5,-14.6912735,145.4693795,ONLI_FR1S,Lizard,Front1,Shallow,2,Cynthia Riginos,6,3,2022,6/3/2022
Spis_ONLI_793,Spis-ONLI-793,Offshore North GBR,25,Spis26_P3,0,Lizard,16:00:00,5,-14.6912735,145.4693795,ONLI_FR1S,Lizard,Front1,Shallow,3,Cynthia Riginos,6,3,2022,6/3/2022
Spis_ONLI_798,Spis-ONLI-798,Offshore North GBR,23,Spis_37_P2,0,Lizard,9:00:00,7,-14.6912735,145.4693795,ONLI_FR1S,Lizard,Front1,Shallow,2,Cynthia Riginos,7,3,2022,7/3/2022
Spis_ONLI_804,Spis-ONLI-804,Offshore North GBR,11,Spis_39_P1,0,Lizard,15:00:00,4,-14.667794,145.441894,ONLI_BA2S,Lizard,Back2,Shallow,1,Cynthia Riginos,7,3,2022,7/3/2022
Spis_ONLI_805,Spis-ONLI-805,Offshore North GBR,10,0,0,Lizard,15:00:00,4,-14.667794,145.441894,ONLI_BA2S,Lizard,Back2,Shallow,2,Cynthia Riginos,7,3,2022,7/3/2022
Spis_ONLI_807,Spis-ONLI-807,Offshore North GBR,4,Spis_57_P4,0,Lizard,15:00:00,4,-14.667794,145.441894,ONLI_BA2S,Lizard,Back2,Shallow,4,Cynthia Riginos,7,3,2022,7/3/2022
Spis_ONLI_810,Spis-ONLI-810,Offshore North GBR,12,Spis_65_P1,0,Lizard,9:00:00,7,-14.650714,145.450096,ONLI_BA1S,Lizard,Back1,Shallow,1,Cynthia Riginos,8,3,2022,8/3/2022
Spis_ONLI_814,Spis-ONLI-814,Offshore North GBR,15,Spis_36_P3,0,Lizard,9:00:00,7,-14.650714,145.450096,ONLI_BA1S,Lizard,Back1,Shallow,3,Cynthia Riginos,8,3,2022,8/3/2022
Spis_ONLI_815,Spis-ONLI-815,Offshore North GBR,20,Spis_2_P3,0,Lizard,9:00:00,7,-14.650714,145.450096,ONLI_BA1S,Lizard,Back1,Shallow,3,Cynthia Riginos,8,3,2022,8/3/2022
Spis_ONLI_817,Spis-ONLI-817,Offshore North GBR,1,Spis_54_P1,0,Lizard,15:00:00,7,-14.649439,145.492935,ONLI_FR2S,Lizard,Front2,Shallow,1,Cynthia Riginos,8,3,2022,8/3/2022
Spis_ONLI_820,Spis-ONLI-820,Offshore North GBR,8,Spis_12_P2,0,Lizard,15:00:00,7,-14.649439,145.492935,ONLI_FR2S,Lizard,Front2,Shallow,2,Cynthia Riginos,8,3,2022,8/3/2022
Spis_ONLI_822,Spis-ONLI-822,Offshore North GBR,23,Spis_21_P4,0,Lizard,15:00:00,7,-14.649439,145.492935,ONLI_FR2S,Lizard,Front2,Shallow,4,Cynthia Riginos,8,3,2022,8/3/2022
Spis_ONLI_823,Spis-ONLI-823,Offshore North GBR,24,Spis_56_P3,0,Lizard,15:00:00,7,-14.649439,145.492935,ONLI_FR2S,Lizard,Front2,Shallow,3,Cynthia Riginos,8,3,2022,8/3/2022
Spis_ONMO_327,Spis-ONMO-327,Offshore North GBR,5,0,0,Moore,9:00:00,12,-16.872083,146.2536695,ONMO_FR1D,Moore,Front1,Deep,0,Zoe Meziere,25,10,2021,25/10/2021
Spis_ONMO_328,Spis-ONMO-328,Offshore North GBR,12,0,0,Moore,9:00:00,12,-16.872083,146.2536695,ONMO_FR1D,Moore,Front1,Deep,0,Zoe Meziere,25,10,2021,25/10/2021
Spis_ONMO_333,Spis-ONMO-333,Offshore North GBR,11,0,0,Moore,9:00:00,12,-16.872083,146.2536695,ONMO_FR1D,Moore,Front1,Deep,0,Zoe Meziere,25,10,2021,25/10/2021
Spis_ONMO_334,Spis-ONMO-334,Offshore North GBR,3,0,0,Moore,9:00:00,12,-16.872083,146.2536695,ONMO_FR1D,Moore,Front1,Deep,0,Zoe Meziere,25,10,2021,25/10/2021
Spis_ONMO_342,Spis-ONMO-342,Offshore North GBR,1,0,0,Moore,14:00:00,5,-16.872041,146.2536145,ONMO_FR1S,Moore,Front1,Shallow,0,Zoe Meziere,25,10,2021,25/10/2021
Spis_ONMO_347,Spis-ONMO-347,Offshore North GBR,2,0,0,Moore,9:00:00,13,-16.8830355,146.244797,ONMO_FR2D,Moore,Front2,Deep,0,Zoe Meziere,26,10,2021,26/10/2021
Spis_ONMO_348,Spis-ONMO-348,Offshore North GBR,1,0,0,Moore,9:00:00,13,-16.8830355,146.244797,ONMO_FR2D,Moore,Front2,Deep,0,Zoe Meziere,26,10,2021,26/10/2021
Spis_ONMO_349,Spis-ONMO-349,Offshore North GBR,7,0,0,Moore,9:00:00,13,-16.8830355,146.244797,ONMO_FR2D,Moore,Front2,Deep,0,Zoe Meziere,26,10,2021,26/10/2021
Spis_ONMO_350,Spis-ONMO-350,Offshore North GBR,11,0,0,Moore,9:00:00,13,-16.8830355,146.244797,ONMO_FR2D,Moore,Front2,Deep,0,Zoe Meziere,26,10,2021,26/10/2021
Spis_ONMO_351,Spis-ONMO-351,Offshore North GBR,6,0,0,Moore,9:00:00,13,-16.8830355,146.244797,ONMO_FR2D,Moore,Front2,Deep,0,Zoe Meziere,26,10,2021,26/10/2021
Spis_ONMO_360,Spis-ONMO-360,Offshore North GBR,12,0,0,Moore,14:30:00,5,-16.882674,146.244602,ONMO_FR2S,Moore,Front2,Shallow,0,Zoe Meziere,26,10,2021,26/10/2021
Spis_ONMO_362,Spis-ONMO-362,Offshore North GBR,8,0,0,Moore,14:30:00,5,-16.882674,146.244602,ONMO_FR2S,Moore,Front2,Shallow,0,Zoe Meziere,26,10,2021,26/10/2021
Spis_ONMO_363,Spis-ONMO-363,Offshore North GBR,2,0,0,Moore,14:30:00,5,-16.882674,146.244602,ONMO_FR2S,Moore,Front2,Shallow,0,Zoe Meziere,26,10,2021,26/10/2021
Spis_ONMO_364,Spis-ONMO-364,Offshore North GBR,15,0,0,Moore,14:30:00,5,-16.882674,146.244602,ONMO_FR2S,Moore,Front2,Shallow,0,Zoe Meziere,26,10,2021,26/10/2021
Spis_ONMO_381,Spis-ONMO-381,Offshore North GBR,6,0,0,Moore,14:00:00,5,-16.859841,146.2256785,ONMO_LA1S,Moore,Lagoon1,Shallow,0,Zoe Meziere,27,10,2021,27/10/2021
Spis_ONMO_382,Spis-ONMO-382,Offshore North GBR,4,0,0,Moore,14:00:00,5,-16.859841,146.2256785,ONMO_LA1S,Moore,Lagoon1,Shallow,0,Zoe Meziere,27,10,2021,27/10/2021
Spis_ONMO_385,Spis-ONMO-385,Offshore North GBR,8,0,0,Moore,14:00:00,5,-16.859841,146.2256785,ONMO_LA1S,Moore,Lagoon1,Shallow,0,Zoe Meziere,27,10,2021,27/10/2021
Spis_ONMO_386,Spis-ONMO-386,Offshore North GBR,15,0,0,Moore,14:00:00,5,-16.859841,146.2256785,ONMO_LA1S,Moore,Lagoon1,Shallow,0,Zoe Meziere,27,10,2021,27/10/2021
Spis_ONMO_393,Spis-ONMO-393,Offshore North GBR,5,0,0,Moore,9:30:00,10,-16.8599245,146.2257455,ONMO_LA1D,Moore,Lagoon1,Deep,0,Zoe Meziere,28,10,2021,28/10/2021
Spis_ONMO_395,Spis-ONMO-395,Offshore North GBR,15,0,0,Moore,9:30:00,10,-16.8599245,146.2257455,ONMO_LA1D,Moore,Lagoon1,Deep,0,Zoe Meziere,28,10,2021,28/10/2021
Spis_ONMO_396,Spis-ONMO-396,Offshore North GBR,6,0,0,Moore,9:30:00,10,-16.8599245,146.2257455,ONMO_LA1D,Moore,Lagoon1,Deep,0,Zoe Meziere,28,10,2021,28/10/2021
Spis_ONMO_403,Spis-ONMO-403,Offshore North GBR,10,0,0,Moore,14:00:00,12,-16.8471725,146.2174315,ONMO_BA1D,Moore,Back1,Deep,0,Zoe Meziere,28,10,2021,28/10/2021
Spis_ONMO_404,Spis-ONMO-404,Offshore North GBR,9,0,0,Moore,14:00:00,12,-16.8471725,146.2174315,ONMO_BA1D,Moore,Back1,Deep,0,Zoe Meziere,28,10,2021,28/10/2021
Spis_ONMO_408,Spis-ONMO-408,Offshore North GBR,14,0,0,Moore,14:00:00,12,-16.8471725,146.2174315,ONMO_BA1D,Moore,Back1,Deep,0,Zoe Meziere,28,10,2021,28/10/2021
Spis_ONMO_410,Spis-ONMO-410,Offshore North GBR,3,0,0,Moore,14:00:00,12,-16.8471725,146.2174315,ONMO_BA1D,Moore,Back1,Deep,0,Zoe Meziere,28,10,2021,28/10/2021
Spis_ONMO_412,Spis-ONMO-412,Offshore North GBR,5,0,0,Moore,14:00:00,12,-16.8471725,146.2174315,ONMO_BA1D,Moore,Back1,Deep,0,Zoe Meziere,28,10,2021,28/10/2021
Spis_ONMO_414,Spis-ONMO-414,Offshore North GBR,6,0,0,Moore,10:00:00,10,-16.881947,146.1837795,ONMO_BA2D,Moore,Back2,Deep,0,Zoe Meziere,29,10,2021,29/10/2021
Spis_ONMO_415,Spis-ONMO-415,Offshore North GBR,5,0,0,Moore,10:00:00,10,-16.881947,146.1837795,ONMO_BA2D,Moore,Back2,Deep,0,Zoe Meziere,29,10,2021,29/10/2021
Spis_ONMO_416,Spis-ONMO-416,Offshore North GBR,15,0,0,Moore,10:00:00,10,-16.881947,146.1837795,ONMO_BA2D,Moore,Back2,Deep,0,Zoe Meziere,29,10,2021,29/10/2021
Spis_ONMO_419,Spis-ONMO-419,Offshore North GBR,14,0,0,Moore,10:00:00,10,-16.881947,146.1837795,ONMO_BA2D,Moore,Back2,Deep,0,Zoe Meziere,29,10,2021,29/10/2021
Spis_ONMO_427,Spis-ONMO-427,Offshore North GBR,9,0,0,Moore,14:30:00,5,-16.8820015,146.183993,ONMO_BA2S,Moore,Back2,Shallow,0,Zoe Meziere,29,10,2021,29/10/2021
Spis_PAOR_545,Spis-PAOR-545,Inshore Central GBR,15,0,0,Pelorus,10:30:00,12,-18.57151,146.49538,PAOR_FL1D,Pelorus,Flank1,Deep,0,Zoe Meziere,13,1,2022,13/1/2022
Spis_PAOR_548,Spis-PAOR-548,Inshore Central GBR,5,0,0,Pelorus,10:30:00,12,-18.57151,146.49538,PAOR_FL1D,Pelorus,Flank1,Deep,0,Zoe Meziere,13,1,2022,13/1/2022
Spis_PAOR_550,Spis-PAOR-550,Inshore Central GBR,4,0,0,Pelorus,10:30:00,12,-18.57151,146.49538,PAOR_FL1D,Pelorus,Flank1,Deep,0,Zoe Meziere,13,1,2022,13/1/2022
Spis_PAOR_551,Spis-PAOR-551,Inshore Central GBR,11,0,0,Pelorus,10:30:00,12,-18.57151,146.49538,PAOR_FL1D,Pelorus,Flank1,Deep,0,Zoe Meziere,13,1,2022,13/1/2022
Spis_PAPE_528,Spis-PAPE-528,Inshore Central GBR,14,0,0,Pelorus,10:00:00,13,-18.53935,146.4995,PAPE_FR1D,Pelorus,Front1,Deep,0,Zoe Meziere,11,1,2022,11/1/2022
Spis_PAPE_529,Spis-PAPE-529,Inshore Central GBR,8,0,0,Pelorus,10:00:00,13,-18.53935,146.4995,PAPE_FR1D,Pelorus,Front1,Deep,0,Zoe Meziere,11,1,2022,11/1/2022
Spis_PAPE_530,Spis-PAPE-530,Inshore Central GBR,5,0,0,Pelorus,10:00:00,13,-18.53935,146.4995,PAPE_FR1D,Pelorus,Front1,Deep,0,Zoe Meziere,11,1,2022,11/1/2022
Spis_PAPE_531,Spis-PAPE-531,Inshore Central GBR,10,0,0,Pelorus,10:00:00,13,-18.53935,146.4995,PAPE_FR1D,Pelorus,Front1,Deep,0,Zoe Meziere,11,1,2022,11/1/2022
Spis_PAPE_532,Spis-PAPE-532,Inshore Central GBR,13,0,0,Pelorus,10:00:00,13,-18.53935,146.4995,PAPE_FR1D,Pelorus,Front1,Deep,0,Zoe Meziere,11,1,2022,11/1/2022
Spis_PAPE_533,Spis-PAPE-533,Inshore Central GBR,11,0,0,Pelorus,10:00:00,13,-18.53935,146.4995,PAPE_FR1D,Pelorus,Front1,Deep,0,Zoe Meziere,11,1,2022,11/1/2022
Spis_PAPE_535,Spis-PAPE-535,Inshore Central GBR,15,0,0,Pelorus,10:00:00,13,-18.53935,146.4995,PAPE_FR1D,Pelorus,Front1,Deep,0,Zoe Meziere,11,1,2022,11/1/2022
Spis_PAPE_538,Spis-PAPE-538,Inshore Central GBR,4,0,0,Pelorus,10:00:00,13,-18.53935,146.4995,PAPE_FR1D,Pelorus,Front1,Deep,0,Zoe Meziere,11,1,2022,11/1/2022
Spis_PAPE_539,Spis-PAPE-539,Inshore Central GBR,3,0,0,Pelorus,10:00:00,13,-18.53935,146.4995,PAPE_FR1D,Pelorus,Front1,Deep,0,Zoe Meziere,11,1,2022,11/1/2022
Spis_PAPE_540,Spis-PAPE-540,Inshore Central GBR,1,0,0,Pelorus,10:00:00,13,-18.53935,146.4995,PAPE_FR1D,Pelorus,Front1,Deep,0,Zoe Meziere,11,1,2022,11/1/2022
Spis_PAPE_541,Spis-PAPE-541,Inshore Central GBR,12,0,0,Pelorus,10:00:00,13,-18.55054,146.48822,PAPE_BA1D,Pelorus,Back1,Deep,0,Zoe Meziere,12,1,2022,12/1/2022
Spis_PAPE_542,Spis-PAPE-542,Inshore Central GBR,14,0,0,Pelorus,10:00:00,13,-18.55054,146.48822,PAPE_BA1D,Pelorus,Back1,Deep,0,Zoe Meziere,12,1,2022,12/1/2022
Spis_PAPE_543,Spis-PAPE-543,Inshore Central GBR,3,0,0,Pelorus,10:00:00,13,-18.55054,146.48822,PAPE_BA1D,Pelorus,Back1,Deep,0,Zoe Meziere,12,1,2022,12/1/2022
Spis_PAPE_558,Spis-PAPE-558,Inshore Central GBR,1,0,0,Pelorus,14:00:00,3,-18.54103,146.48862,PAPE_BA2S,Pelorus,Back2,Shallow,0,Zoe Meziere,13,1,2022,13/1/2022
Spis_PAPE_562,Spis-PAPE-562,Inshore Central GBR,9,0,0,Pelorus,14:00:00,3,-18.54103,146.48862,PAPE_BA2S,Pelorus,Back2,Shallow,0,Zoe Meziere,13,1,2022,13/1/2022
Spis_PAPE_564,Spis-PAPE-564,Inshore Central GBR,11,0,0,Pelorus,14:00:00,3,-18.54103,146.48862,PAPE_BA2S,Pelorus,Back2,Shallow,0,Zoe Meziere,13,1,2022,13/1/2022
Spis_PAPE_566,Spis-PAPE-566,Inshore Central GBR,15,0,0,Pelorus,15:00:00,12,-18.54083,146.48846,PAPE_BA2D,Pelorus,Back2,Deep,0,Zoe Meziere,14,1,2022,14/1/2022