Spis_LIZA_488,ONLI_BA2S,34.99444538,35.22101842,35.24812904,35.59468885,32.17019361,0.036203052,35.43391978,33.80434387,0.52778907,26.92796983,27.10007713,27.31141584,31.39957019,22.92017688,0.204865043,29.72708168,24.07273564,1.956996459,0.124432307,0.114871352,0.08412555,0.0806137,22931.09744,22919.08042,22953.25909,23148.47089,22694.15808,23143.98078,22731.67925,131.879463,0.042643228,0.026029272,0.020443975,0.197514586,0.012458768,0.150103296,0.014158982,0.046546455,10.89224659,9.665767878,21.78248134,20.04926182,3.790226964,5.342030229,20.16018197,20.3963699,21.42280077,27.64915463,8.117747467,27.15850463,11.36669234,5.451354303,8.05703728,8.051071117,8.061763585,8.119467066,8.013298749,8.105551389,8.029855703,0.025359131,2241.673646,2243.585736,2238.256886,2257.645718,2214.116206,2255.81551,2225.443429,9.934917827,0.168539454,0.125443013,0.43170173,0.386507205,0.036220185,0.119243237,2.310435171
Spis_LIZA_489,ONLI_LA1S,35.00070413,35.2216633,35.24204016,35.62066053,32.04518059,0.036931929,35.43058879,33.84413741,0.516929177,26.95539694,27.11463437,27.30558757,31.21031925,22.93153615,0.241379325,29.74213555,24.13000809,1.925027711,0.061121284,0.051939704,0.034454493,0.042584437,22892.80062,22915.94101,23112.23757,23112.23757,22718.05056,23092.23663,22722.49042,114.8608037,0.042038922,0.025621396,0.029837056,0.233672958,0.010356607,0.192778557,0.01316685,0.05762038,10.16419876,9.691400066,24.40244417,24.15151089,2.378014312,6.591198765,19.71691589,19.76087044,17.23672025,27.06606894,9.115998356,27.00349223,11.95632422,5.434547966,8.063007777,8.059182772,8.081654511,8.108449608,8.03164659,8.100000924,8.035021627,0.020474577,2239.554748,2239.864109,2248.826495,2248.826495,2225.659753,2247.591698,2229.533831,6.216204846,0.202653712,0.15929063,0.859618281,0.435486994,0.047604264,0.173748837,9.778565044
Spis_ONLI_441,ONLI_FR1S,35.00076681,35.22225423,35.24074892,35.62370036,31.92653312,0.040307113,35.42579477,33.8635075,0.516309142,26.96268185,27.12349669,27.30478903,31.44963221,22.93514049,0.260941846,29.74129826,24.13084333,1.923292262,0.06498788,0.053969188,0.038570332,0.047578277,22977.34365,22996.635,23057.32778,23137.4677,22766.02649,23118.42737,22771.75532,116.0899282,0.049486352,0.027096168,0.014003717,0.396754786,0.010823662,0.214230754,0.014084651,0.086447403,8.883089766,7.569452234,22.88371713,19.93448684,2.029142119,5.863009549,19.2522564,21.64345483,26.73180529,26.73180529,1.689857223,26.57261642,10.42546023,6.72194565,8.070108414,8.073295798,8.023616962,8.119609605,8.023616962,8.113117652,8.039574891,0.02257013,2241.211095,2241.474045,2246.428027,2254.284471,2218.030058,2253.529934,2220.717008,9.29561319,0.209882789,0.16891846,0.549446873,0.415673892,0.075052304,0.137114034,9.66694469
Spis_ONLI_442,ONLI_FR1S,35.00076681,35.22225423,35.24074892,35.62370036,31.92653312,0.040307113,35.42579477,33.8635075,0.516309142,26.96268185,27.12349669,27.30478903,31.44963221,22.93514049,0.260941846,29.74129826,24.13084333,1.923292262,0.06498788,0.053969188,0.038570332,0.047578277,22977.34365,22996.635,23057.32778,23137.4677,22766.02649,23118.42737,22771.75532,116.0899282,0.049486352,0.027096168,0.014003717,0.396754786,0.010823662,0.214230754,0.014084651,0.086447403,8.883089766,7.569452234,22.88371713,19.93448684,2.029142119,5.863009549,19.2522564,21.64345483,26.73180529,26.73180529,1.689857223,26.57261642,10.42546023,6.72194565,8.070108414,8.073295798,8.023616962,8.119609605,8.023616962,8.113117652,8.039574891,0.02257013,2241.211095,2241.474045,2246.428027,2254.284471,2218.030058,2253.529934,2220.717008,9.29561319,0.209882789,0.16891846,0.549446873,0.415673892,0.075052304,0.137114034,9.66694469
Spis_ONLI_443,ONLI_FR1S,35.00076681,35.22225423,35.24074892,35.62370036,31.92653312,0.040307113,35.42579477,33.8635075,0.516309142,26.96268185,27.12349669,27.30478903,31.44963221,22.93514049,0.260941846,29.74129826,24.13084333,1.923292262,0.06498788,0.053969188,0.038570332,0.047578277,22977.34365,22996.635,23057.32778,23137.4677,22766.02649,23118.42737,22771.75532,116.0899282,0.049486352,0.027096168,0.014003717,0.396754786,0.010823662,0.214230754,0.014084651,0.086447403,8.883089766,7.569452234,22.88371713,19.93448684,2.029142119,5.863009549,19.2522564,21.64345483,26.73180529,26.73180529,1.689857223,26.57261642,10.42546023,6.72194565,8.070108414,8.073295798,8.023616962,8.119609605,8.023616962,8.113117652,8.039574891,0.02257013,2241.211095,2241.474045,2246.428027,2254.284471,2218.030058,2253.529934,2220.717008,9.29561319,0.209882789,0.16891846,0.549446873,0.415673892,0.075052304,0.137114034,9.66694469
Spis_ONLI_445,ONLI_FR1S,35.00076681,35.22225423,35.24074892,35.62370036,31.92653312,0.040307113,35.42579477,33.8635075,0.516309142,26.96268185,27.12349669,27.30478903,31.44963221,22.93514049,0.260941846,29.74129826,24.13084333,1.923292262,0.06498788,0.053969188,0.038570332,0.047578277,22977.34365,22996.635,23057.32778,23137.4677,22766.02649,23118.42737,22771.75532,116.0899282,0.049486352,0.027096168,0.014003717,0.396754786,0.010823662,0.214230754,0.014084651,0.086447403,8.883089766,7.569452234,22.88371713,19.93448684,2.029142119,5.863009549,19.2522564,21.64345483,26.73180529,26.73180529,1.689857223,26.57261642,10.42546023,6.72194565,8.070108414,8.073295798,8.023616962,8.119609605,8.023616962,8.113117652,8.039574891,0.02257013,2241.211095,2241.474045,2246.428027,2254.284471,2218.030058,2253.529934,2220.717008,9.29561319,0.209882789,0.16891846,0.549446873,0.415673892,0.075052304,0.137114034,9.66694469
Spis_ONLI_448,ONLI_FR1S,35.00076681,35.22225423,35.24074892,35.62370036,31.92653312,0.040307113,35.42579477,33.8635075,0.516309142,26.96268185,27.12349669,27.30478903,31.44963221,22.93514049,0.260941846,29.74129826,24.13084333,1.923292262,0.06498788,0.053969188,0.038570332,0.047578277,22977.34365,22996.635,23057.32778,23137.4677,22766.02649,23118.42737,22771.75532,116.0899282,0.049486352,0.027096168,0.014003717,0.396754786,0.010823662,0.214230754,0.014084651,0.086447403,8.883089766,7.569452234,22.88371713,19.93448684,2.029142119,5.863009549,19.2522564,21.64345483,26.73180529,26.73180529,1.689857223,26.57261642,10.42546023,6.72194565,8.070108414,8.073295798,8.023616962,8.119609605,8.023616962,8.113117652,8.039574891,0.02257013,2241.211095,2241.474045,2246.428027,2254.284471,2218.030058,2253.529934,2220.717008,9.29561319,0.209882789,0.16891846,0.549446873,0.415673892,0.075052304,0.137114034,9.66694469
Spis_ONLI_449,ONLI_FL1S,34.99006987,35.22215803,35.24937281,35.65118639,32.17333013,0.038248811,35.43721679,33.80205602,0.538804119,26.94475989,27.12140899,27.29976307,31.30811372,22.90589776,0.202052198,29.75811266,24.09006174,1.959363811,0.158377424,0.149243942,0.112516354,0.098299159,22878.87498,22879.95191,22806.34503,23181.63902,22460.5178,23154.91439,22654.22797,169.7287168,0.075931923,0.029318581,0.015401293,0.718008135,0.011112079,0.35982476,0.014624488,0.156123814,11.8318148,10.36834049,25.24173818,24.08588252,0.282744964,8.365179409,18.85298854,19.35846586,19.35846586,27.00389662,1.025788028,26.8517291,2.541460644,7.722869089,8.048271772,8.048524573,8.036336712,8.085601566,8.015262111,8.073372082,8.019916817,0.015383195,2234.500348,2236.868501,2235.63169,2262.729841,2189.690878,2254.35194,2207.721035,16.56895803,0.178260096,0.122736827,0.510642965,0.421254831,0.036193035,0.13221925,2.776606044
Spis_ONLI_455,ONLI_FL1S,34.99006987,35.22215803,35.24937281,35.65118639,32.17333013,0.038248811,35.43721679,33.80205602,0.538804119,26.94475989,27.12140899,27.29976307,31.30811372,22.90589776,0.202052198,29.75811266,24.09006174,1.959363811,0.158377424,0.149243942,0.112516354,0.098299159,22878.87498,22879.95191,22806.34503,23181.63902,22460.5178,23154.91439,22654.22797,169.7287168,0.075931923,0.029318581,0.015401293,0.718008135,0.011112079,0.35982476,0.014624488,0.156123814,11.8318148,10.36834049,25.24173818,24.08588252,0.282744964,8.365179409,18.85298854,19.35846586,19.35846586,27.00389662,1.025788028,26.8517291,2.541460644,7.722869089,8.048271772,8.048524573,8.036336712,8.085601566,8.015262111,8.073372082,8.019916817,0.015383195,2234.500348,2236.868501,2235.63169,2262.729841,2189.690878,2254.35194,2207.721035,16.56895803,0.178260096,0.122736827,0.510642965,0.421254831,0.036193035,0.13221925,2.776606044
Spis_ONLI_456,ONLI_FL1S,34.99006987,35.22215803,35.24937281,35.65118639,32.17333013,0.038248811,35.43721679,33.80205602,0.538804119,26.94475989,27.12140899,27.29976307,31.30811372,22.90589776,0.202052198,29.75811266,24.09006174,1.959363811,0.158377424,0.149243942,0.112516354,0.098299159,22878.87498,22879.95191,22806.34503,23181.63902,22460.5178,23154.91439,22654.22797,169.7287168,0.075931923,0.029318581,0.015401293,0.718008135,0.011112079,0.35982476,0.014624488,0.156123814,11.8318148,10.36834049,25.24173818,24.08588252,0.282744964,8.365179409,18.85298854,19.35846586,19.35846586,27.00389662,1.025788028,26.8517291,2.541460644,7.722869089,8.048271772,8.048524573,8.036336712,8.085601566,8.015262111,8.073372082,8.019916817,0.015383195,2234.500348,2236.868501,2235.63169,2262.729841,2189.690878,2254.35194,2207.721035,16.56895803,0.178260096,0.122736827,0.510642965,0.421254831,0.036193035,0.13221925,2.776606044
Spis_ONLI_465,ONLI_FR2S,35.00812089,35.20692312,35.23176766,35.54548251,31.86102169,0.038572967,35.39652584,33.99155256,0.477764917,26.99660712,27.15698251,27.28979308,31.25624742,23.0120819,0.21237832,29.72989408,24.1975991,1.904892802,0.183848402,0.17819131,0.134900643,0.101485496,22933.76998,22983.38856,23061.08719,23116.70741,22369.67819,23105.52485,22671.1894,164.3283294,0.031111161,0.029528701,0.017947656,0.118193762,0.01329428,0.04032132,0.017328047,0.019872916,8.114865297,7.552764122,19.60147945,16.58587171,0.805069702,5.271434738,19.87676398,20.85222751,21.33868026,29.43013204,5.737037724,29.13751369,9.465087592,6.498540227,8.063401595,8.061773154,8.043239639,8.107252775,8.026663775,8.095737213,8.03180931,0.022057543,2240.113281,2242.274957,2253.777146,2263.82721,2179.456178,2257.11152,2207.383264,17.03632578,0.228078903,0.18100321,0.619239496,0.490702647,0.045511799,0.157765045,5.723456784
Spis_ONLI_467,ONLI_FR2S,35.00812089,35.20692312,35.23176766,35.54548251,31.86102169,0.038572967,35.39652584,33.99155256,0.477764917,26.99660712,27.15698251,27.28979308,31.25624742,23.0120819,0.21237832,29.72989408,24.1975991,1.904892802,0.183848402,0.17819131,0.134900643,0.101485496,22933.76998,22983.38856,23061.08719,23116.70741,22369.67819,23105.52485,22671.1894,164.3283294,0.031111161,0.029528701,0.017947656,0.118193762,0.01329428,0.04032132,0.017328047,0.019872916,8.114865297,7.552764122,19.60147945,16.58587171,0.805069702,5.271434738,19.87676398,20.85222751,21.33868026,29.43013204,5.737037724,29.13751369,9.465087592,6.498540227,8.063401595,8.061773154,8.043239639,8.107252775,8.026663775,8.095737213,8.03180931,0.022057543,2240.113281,2242.274957,2253.777146,2263.82721,2179.456178,2257.11152,2207.383264,17.03632578,0.228078903,0.18100321,0.619239496,0.490702647,0.045511799,0.157765045,5.723456784
Spis_ONLI_468,ONLI_FR2S,35.00812089,35.20692312,35.23176766,35.54548251,31.86102169,0.038572967,35.39652584,33.99155256,0.477764917,26.99660712,27.15698251,27.28979308,31.25624742,23.0120819,0.21237832,29.72989408,24.1975991,1.904892802,0.183848402,0.17819131,0.134900643,0.101485496,22933.76998,22983.38856,23061.08719,23116.70741,22369.67819,23105.52485,22671.1894,164.3283294,0.031111161,0.029528701,0.017947656,0.118193762,0.01329428,0.04032132,0.017328047,0.019872916,8.114865297,7.552764122,19.60147945,16.58587171,0.805069702,5.271434738,19.87676398,20.85222751,21.33868026,29.43013204,5.737037724,29.13751369,9.465087592,6.498540227,8.063401595,8.061773154,8.043239639,8.107252775,8.026663775,8.095737213,8.03180931,0.022057543,2240.113281,2242.274957,2253.777146,2263.82721,2179.456178,2257.11152,2207.383264,17.03632578,0.228078903,0.18100321,0.619239496,0.490702647,0.045511799,0.157765045,5.723456784
Spis_ONLI_484,ONLI_BA2S,34.99444538,35.22101842,35.24812904,35.59468885,32.17019361,0.036203052,35.43391978,33.80434387,0.52778907,26.92796983,27.10007713,27.31141584,31.39957019,22.92017688,0.204865043,29.72708168,24.07273564,1.956996459,0.124432307,0.114871352,0.08412555,0.0806137,22931.09744,22919.08042,22953.25909,23148.47089,22694.15808,23143.98078,22731.67925,131.879463,0.042643228,0.026029272,0.020443975,0.197514586,0.012458768,0.150103296,0.014158982,0.046546455,10.89224659,9.665767878,21.78248134,20.04926182,3.790226964,5.342030229,20.16018197,20.3963699,21.42280077,27.64915463,8.117747467,27.15850463,11.36669234,5.451354303,8.05703728,8.051071117,8.061763585,8.119467066,8.013298749,8.105551389,8.029855703,0.025359131,2241.673646,2243.585736,2238.256886,2257.645718,2214.116206,2255.81551,2225.443429,9.934917827,0.168539454,0.125443013,0.43170173,0.386507205,0.036220185,0.119243237,2.310435171
Spis_ONLI_486,ONLI_BA2S,34.99444538,35.22101842,35.24812904,35.59468885,32.17019361,0.036203052,35.43391978,33.80434387,0.52778907,26.92796983,27.10007713,27.31141584,31.39957019,22.92017688,0.204865043,29.72708168,24.07273564,1.956996459,0.124432307,0.114871352,0.08412555,0.0806137,22931.09744,22919.08042,22953.25909,23148.47089,22694.15808,23143.98078,22731.67925,131.879463,0.042643228,0.026029272,0.020443975,0.197514586,0.012458768,0.150103296,0.014158982,0.046546455,10.89224659,9.665767878,21.78248134,20.04926182,3.790226964,5.342030229,20.16018197,20.3963699,21.42280077,27.64915463,8.117747467,27.15850463,11.36669234,5.451354303,8.05703728,8.051071117,8.061763585,8.119467066,8.013298749,8.105551389,8.029855703,0.025359131,2241.673646,2243.585736,2238.256886,2257.645718,2214.116206,2255.81551,2225.443429,9.934917827,0.168539454,0.125443013,0.43170173,0.386507205,0.036220185,0.119243237,2.310435171
Spis_ONLI_490,ONLI_LA1S,35.00070413,35.2216633,35.24204016,35.62066053,32.04518059,0.036931929,35.43058879,33.84413741,0.516929177,26.95539694,27.11463437,27.30558757,31.21031925,22.93153615,0.241379325,29.74213555,24.13000809,1.925027711,0.061121284,0.051939704,0.034454493,0.042584437,22892.80062,22915.94101,23112.23757,23112.23757,22718.05056,23092.23663,22722.49042,114.8608037,0.042038922,0.025621396,0.029837056,0.233672958,0.010356607,0.192778557,0.01316685,0.05762038,10.16419876,9.691400066,24.40244417,24.15151089,2.378014312,6.591198765,19.71691589,19.76087044,17.23672025,27.06606894,9.115998356,27.00349223,11.95632422,5.434547966,8.063007777,8.059182772,8.081654511,8.108449608,8.03164659,8.100000924,8.035021627,0.020474577,2239.554748,2239.864109,2248.826495,2248.826495,2225.659753,2247.591698,2229.533831,6.216204846,0.202653712,0.15929063,0.859618281,0.435486994,0.047604264,0.173748837,9.778565044
